epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.89558,0.81858,2.12772,1.27853,0.61532,0.83333,0.87391,0.63102,1.44853,1.37829,1.27019,0,0,0
2,11.2901,0.93555,1.97212,1.32781,0.54549,0.83333,0.87107,0.61551,1.47449,1.41284,1.28236,1.07219e-06,1.07219e-06,1.07219e-06
3,16.3976,0.92065,2.08473,1.27709,0.54105,0.83333,0.87096,0.61165,1.48327,1.44715,1.28176,1.90876e-06,1.90876e-06,1.90876e-06
4,21.705,1.06749,2.26105,1.39125,0.55401,0.83921,0.8929,0.59742,1.49699,1.48555,1.28669,2.50971e-06,2.50971e-06,2.50971e-06
5,26.9123,0.9978,2.78346,1.3618,0.65861,0.75,0.89288,0.61402,1.50656,1.52599,1.29293,2.87504e-06,2.87504e-06,2.87504e-06
6,31.9642,0.93252,1.76659,1.24088,0.65222,0.75,0.89342,0.6069,1.52679,1.54843,1.30153,3.00475e-06,3.00475e-06,3.00475e-06
7,37.0432,0.86274,2.84149,1.25305,0.69729,0.75,0.83829,0.60059,1.52882,1.57842,1.30563,2.89884e-06,2.89884e-06,2.89884e-06
8,42.0948,1.0717,2.22739,1.35203,0.698,0.75,0.83711,0.60627,1.52265,1.59235,1.30591,2.55731e-06,2.55731e-06,2.55731e-06
9,47.1645,0.76143,1.74513,1.19462,0.69421,0.75,0.76477,0.59619,1.5147,1.60117,1.3096,1.98016e-06,1.98016e-06,1.98016e-06
10,52.3763,0.81661,1.85442,1.15966,0.69054,0.75,0.74579,0.59005,1.52152,1.63166,1.31483,1.16739e-06,1.16739e-06,1.16739e-06
