epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.25082,1.41116,2.80917,1.75436,0.60672,0.83333,0.87395,0.6157,1.44321,1.37536,1.27065,0,0,0
2,10.0316,1.24814,2.61861,1.44047,0.54203,0.83333,0.87276,0.60073,1.45251,1.40333,1.27516,1.18882e-06,1.18882e-06,1.18882e-06
3,14.6524,1.14109,4.21242,1.49503,0.56155,0.83333,0.8706,0.59993,1.46195,1.4484,1.28774,2.37529e-06,2.37529e-06,2.37529e-06
4,19.3004,1.26501,2.66489,1.44844,0.60378,0.83333,0.8857,0.59268,1.49036,1.49172,1.30682,3.5594e-06,3.5594e-06,3.5594e-06
5,24.072,1.3361,2.84921,1.63013,0.85307,0.56667,0.88561,0.58533,1.50595,1.54132,1.31789,4.74115e-06,4.74115e-06,4.74115e-06
6,28.6681,1.63044,4.70314,1.92271,0.83987,0.56667,0.88571,0.56502,1.51933,1.6074,1.33433,5.92055e-06,5.92055e-06,5.92055e-06
7,33.3225,1.38981,2.08137,1.54972,0.83181,0.56667,0.88569,0.557,1.52802,1.65615,1.34405,7.09759e-06,7.09759e-06,7.09759e-06
8,37.953,1.51682,3.11909,1.78163,0.82584,0.56667,0.76206,0.54338,1.55824,1.72143,1.37424,8.27227e-06,8.27227e-06,8.27227e-06
9,42.6155,1.06487,2.57159,1.34862,0.81178,0.57504,0.74295,0.53429,1.55625,1.76081,1.37235,9.4446e-06,9.4446e-06,9.4446e-06
10,47.3073,0.96723,3.32742,1.48622,0.79048,0.58333,0.7429,0.5343,1.55727,1.78992,1.37893,1.06146e-05,1.06146e-05,1.06146e-05
11,52.0169,1.34461,2.71869,1.52812,0.77533,0.58333,0.74307,0.5344,1.54695,1.80112,1.37224,1.17822e-05,1.17822e-05,1.17822e-05
12,56.6019,1.04074,2.02481,1.39838,0.74395,0.58333,0.74295,0.53162,1.5479,1.82109,1.37217,1.29474e-05,1.29474e-05,1.29474e-05
13,61.2899,0.96198,2.53635,1.22798,0.75871,0.58333,0.74293,0.53165,1.52756,1.83563,1.36228,1.41104e-05,1.41104e-05,1.41104e-05
14,65.9729,1.37813,2.38558,1.79011,0.93065,0.3735,0.74355,0.54015,1.51912,1.85984,1.36101,1.52709e-05,1.52709e-05,1.52709e-05
15,70.6667,0.81439,1.664,1.11865,0.92741,0.37332,0.74219,0.55626,1.52353,1.87279,1.36386,1.64291e-05,1.64291e-05,1.64291e-05
16,75.276,1.07654,2.06582,1.51072,0.92315,0.37339,0.65861,0.49291,1.53263,1.9136,1.35804,1.75849e-05,1.75849e-05,1.75849e-05
17,79.8849,0.81297,1.58799,1.14988,0.9227,0.37332,0.6322,0.48182,1.53494,1.94898,1.35815,1.87384e-05,1.87384e-05,1.87384e-05
18,84.527,1.1134,1.5574,1.33813,0.9227,0.37332,0.6322,0.48182,1.53494,1.94898,1.35815,1.98895e-05,1.98895e-05,1.98895e-05
19,89.28,0.96088,1.6074,1.15967,0.92405,0.37342,0.61014,0.46689,1.57954,2.06036,1.38921,2.10383e-05,2.10383e-05,2.10383e-05
20,93.8532,1.00101,1.55863,1.30928,0.92405,0.37342,0.61014,0.46689,1.57954,2.06036,1.38921,2.21847e-05,2.21847e-05,2.21847e-05
21,98.4425,1.22571,2.62489,1.61698,0.91765,0.37328,0.58895,0.46083,1.60226,2.13827,1.41448,2.33288e-05,2.33288e-05,2.33288e-05
22,103.038,1.25818,2.36366,1.66202,0.91765,0.37328,0.58895,0.46083,1.60226,2.13827,1.41448,2.44705e-05,2.44705e-05,2.44705e-05
23,107.769,0.91671,1.77092,1.39082,0.91396,0.37317,0.57706,0.45695,1.61561,2.2136,1.43746,2.56098e-05,2.56098e-05,2.56098e-05
24,112.373,1.05119,2.0659,1.52751,0.91396,0.37317,0.57706,0.45695,1.61561,2.2136,1.43746,2.67468e-05,2.67468e-05,2.67468e-05
25,117.01,0.8444,1.54613,1.24963,0.91551,0.37321,0.57733,0.44032,1.64642,2.22798,1.46304,2.78814e-05,2.78814e-05,2.78814e-05
26,121.57,0.91762,1.76506,1.35632,0.91551,0.37321,0.57733,0.44032,1.64642,2.22798,1.46304,2.90137e-05,2.90137e-05,2.90137e-05
27,126.242,0.86832,1.76079,1.3726,0.9121,0.37313,0.57745,0.44034,1.65567,2.26021,1.47111,3.01436e-05,3.01436e-05,3.01436e-05
28,130.797,0.79067,1.07204,1.1516,0.9121,0.37313,0.57745,0.44034,1.65567,2.26021,1.47111,3.12712e-05,3.12712e-05,3.12712e-05
29,135.49,0.90558,1.42877,1.25123,0.9124,0.37331,0.57678,0.43037,1.6232,2.24846,1.4575,3.23964e-05,3.23964e-05,3.23964e-05
30,140.034,1.25526,2.30811,1.54577,0.9124,0.37331,0.57678,0.43037,1.6232,2.24846,1.4575,3.35192e-05,3.35192e-05,3.35192e-05
31,144.802,0.89667,1.12477,1.20708,0.91382,0.37312,0.49439,0.35598,1.63036,2.27052,1.47359,3.46397e-05,3.46397e-05,3.46397e-05
32,149.273,0.70988,1.26404,1.14825,0.91382,0.37312,0.49439,0.35598,1.63036,2.27052,1.47359,3.57578e-05,3.57578e-05,3.57578e-05
33,153.887,0.8827,1.14129,1.45489,0.91649,0.37318,0.45364,0.31882,1.6828,2.31394,1.50107,3.68736e-05,3.68736e-05,3.68736e-05
34,158.445,0.95487,0.98888,1.27002,0.91649,0.37318,0.45364,0.31882,1.6828,2.31394,1.50107,3.7987e-05,3.7987e-05,3.7987e-05
35,163.123,0.96514,1.73519,1.32669,0.91277,0.37287,0.45533,0.31986,1.68116,2.34857,1.50292,3.90981e-05,3.90981e-05,3.90981e-05
36,167.66,0.72779,1.31008,1.16903,0.91277,0.37287,0.45533,0.31986,1.68116,2.34857,1.50292,4.02068e-05,4.02068e-05,4.02068e-05
37,172.342,0.70282,1.11782,1.12329,0.93862,0.38857,0.45903,0.32031,1.71124,2.4057,1.53465,4.13132e-05,4.13132e-05,4.13132e-05
38,177.06,0.44733,0.79773,0.95033,0.93862,0.38857,0.45903,0.32031,1.71124,2.4057,1.53465,4.24172e-05,4.24172e-05,4.24172e-05
39,181.822,0.7848,0.82764,1.09208,0.9161,0.37227,0.45375,0.34847,1.71265,2.43808,1.53523,4.35188e-05,4.35188e-05,4.35188e-05
40,186.46,0.649,0.69223,1.05596,0.9161,0.37227,0.45375,0.34847,1.71265,2.43808,1.53523,4.46181e-05,4.46181e-05,4.46181e-05
41,191.056,0.63811,0.79864,0.99015,0.94053,0.38638,0.45917,0.35355,1.72549,2.47718,1.54279,4.5715e-05,4.5715e-05,4.5715e-05
42,195.611,0.54941,1.3268,1.02832,0.94053,0.38638,0.45917,0.35355,1.72549,2.47718,1.54279,4.68096e-05,4.68096e-05,4.68096e-05
43,200.292,0.96419,1.24121,1.25965,0.94268,0.38453,0.4631,0.35431,1.7559,2.51738,1.55447,4.79018e-05,4.79018e-05,4.79018e-05
44,204.878,0.82386,0.80114,1.25891,0.94268,0.38453,0.4631,0.35431,1.7559,2.51738,1.55447,4.89917e-05,4.89917e-05,4.89917e-05
45,209.526,0.57903,0.6676,0.97335,0.9453,0.38449,0.46388,0.35452,1.75797,2.48735,1.5529,5.00792e-05,5.00792e-05,5.00792e-05
46,214.082,0.70001,0.85066,1.13542,0.9453,0.38449,0.46388,0.35452,1.75797,2.48735,1.5529,5.11643e-05,5.11643e-05,5.11643e-05
47,218.69,0.81073,1.56399,1.21794,0.94865,0.38675,0.45656,0.3378,1.76515,2.43352,1.55683,5.22471e-05,5.22471e-05,5.22471e-05
48,223.545,0.84255,1.27837,1.19453,0.94865,0.38675,0.45656,0.3378,1.76515,2.43352,1.55683,5.33276e-05,5.33276e-05,5.33276e-05
49,229.284,0.7007,0.7567,1.20695,0.95084,0.38869,0.45456,0.33677,1.78835,2.42675,1.56404,5.44057e-05,5.44057e-05,5.44057e-05
50,234.71,0.63817,0.94404,1.17703,0.95084,0.38869,0.45456,0.33677,1.78835,2.42675,1.56404,5.54814e-05,5.54814e-05,5.54814e-05
51,239.985,0.70666,0.67687,1.09825,0.95809,0.38854,0.45465,0.33502,1.77911,2.41739,1.52919,5.65548e-05,5.65548e-05,5.65548e-05
52,244.92,0.74361,0.80777,1.15133,0.95809,0.38854,0.45465,0.33502,1.77911,2.41739,1.52919,5.76258e-05,5.76258e-05,5.76258e-05
53,249.809,0.58279,0.60238,1.1658,0.95809,0.38854,0.45465,0.33502,1.77911,2.41739,1.52919,5.86944e-05,5.86944e-05,5.86944e-05
54,255.393,0.73771,0.67209,1.20595,0.96212,0.38874,0.457,0.3364,1.7987,2.40571,1.52191,5.97607e-05,5.97607e-05,5.97607e-05
55,260.973,0.63717,0.69467,0.97717,0.96212,0.38874,0.457,0.3364,1.7987,2.40571,1.52191,6.08247e-05,6.08247e-05,6.08247e-05
56,265.931,1.07227,1.27791,1.4887,0.96212,0.38874,0.457,0.3364,1.7987,2.40571,1.52191,6.18862e-05,6.18862e-05,6.18862e-05
57,271.385,0.98982,1.18183,1.3146,0.97078,0.38291,0.42454,0.30665,1.73642,2.31353,1.43269,6.29455e-05,6.29455e-05,6.29455e-05
58,276.671,0.77233,1.14738,1.20568,0.97078,0.38291,0.42454,0.30665,1.73642,2.31353,1.43269,6.40024e-05,6.40024e-05,6.40024e-05
59,281.997,0.68581,0.61992,1.11829,0.97078,0.38291,0.42454,0.30665,1.73642,2.31353,1.43269,6.50569e-05,6.50569e-05,6.50569e-05
60,287.942,0.9565,0.68145,1.52784,0.96421,0.38096,0.42498,0.30408,1.75039,2.30874,1.41965,6.6109e-05,6.6109e-05,6.6109e-05
61,293.734,0.57778,0.67717,1.04773,0.96421,0.38096,0.42498,0.30408,1.75039,2.30874,1.41965,6.71588e-05,6.71588e-05,6.71588e-05
62,299.625,0.61698,0.71438,1.00266,0.96421,0.38096,0.42498,0.30408,1.75039,2.30874,1.41965,6.82063e-05,6.82063e-05,6.82063e-05
63,305.39,0.69615,0.69374,1.10411,0.95789,0.37877,0.42509,0.30614,1.77043,2.37313,1.42472,6.92514e-05,6.92514e-05,6.92514e-05
64,311.03,0.5902,0.57657,1.02773,0.95789,0.37877,0.42509,0.30614,1.77043,2.37313,1.42472,7.02941e-05,7.02941e-05,7.02941e-05
65,316.554,0.56325,0.65004,1.12628,0.95789,0.37877,0.42509,0.30614,1.77043,2.37313,1.42472,7.13345e-05,7.13345e-05,7.13345e-05
66,322.134,0.52349,0.59899,1.01495,0.94859,0.38178,0.42646,0.30667,1.79941,2.42332,1.4341,7.23725e-05,7.23725e-05,7.23725e-05
67,327.797,0.6664,0.90576,1.04797,0.94859,0.38178,0.42646,0.30667,1.79941,2.42332,1.4341,7.34082e-05,7.34082e-05,7.34082e-05
68,333.589,0.8357,1.31893,1.25919,0.94859,0.38178,0.42646,0.30667,1.79941,2.42332,1.4341,7.44415e-05,7.44415e-05,7.44415e-05
69,339.469,0.53376,0.86296,1.04924,0.95053,0.3816,0.42788,0.29171,1.86013,2.54348,1.5116,7.54725e-05,7.54725e-05,7.54725e-05
70,345.741,0.86984,0.74506,1.29965,0.95053,0.3816,0.42788,0.29171,1.86013,2.54348,1.5116,7.65011e-05,7.65011e-05,7.65011e-05
71,351.648,0.89257,1.01338,1.30821,0.95053,0.3816,0.42788,0.29171,1.86013,2.54348,1.5116,7.75273e-05,7.75273e-05,7.75273e-05
72,357.909,0.48023,0.47596,0.99183,0.93604,0.38691,0.43074,0.29254,1.90757,2.6727,1.53969,7.85512e-05,7.85512e-05,7.85512e-05
73,363.476,0.61768,0.67013,1.01004,0.93604,0.38691,0.43074,0.29254,1.90757,2.6727,1.53969,7.95727e-05,7.95727e-05,7.95727e-05
74,368.79,0.54871,0.53775,1.05811,0.93604,0.38691,0.43074,0.29254,1.90757,2.6727,1.53969,8.05919e-05,8.05919e-05,8.05919e-05
75,374.31,0.58264,0.48352,1.07056,0.92489,0.39222,0.43499,0.29446,1.92638,2.74645,1.53518,8.16087e-05,8.16087e-05,8.16087e-05
76,380.329,0.55136,0.69473,1.07957,0.92489,0.39222,0.43499,0.29446,1.92638,2.74645,1.53518,8.26232e-05,8.26232e-05,8.26232e-05
77,386.334,0.58847,0.48721,1.04475,0.92489,0.39222,0.43499,0.29446,1.92638,2.74645,1.53518,8.36353e-05,8.36353e-05,8.36353e-05
78,392.315,0.67581,0.88,1.07026,0.91331,0.39496,0.4348,0.29452,1.94413,2.85312,1.54001,8.4645e-05,8.4645e-05,8.4645e-05
79,399.009,0.53948,0.5289,1.06303,0.91331,0.39496,0.4348,0.29452,1.94413,2.85312,1.54001,8.56524e-05,8.56524e-05,8.56524e-05
80,405.028,0.63205,0.61163,1.08382,0.91331,0.39496,0.4348,0.29452,1.94413,2.85312,1.54001,8.66575e-05,8.66575e-05,8.66575e-05
81,410.694,0.47674,0.40498,0.95432,0.9107,0.38969,0.43412,0.29467,1.93923,2.92428,1.5105,8.76602e-05,8.76602e-05,8.76602e-05
82,416.429,0.62986,0.56882,1.08896,0.9107,0.38969,0.43412,0.29467,1.93923,2.92428,1.5105,8.86605e-05,8.86605e-05,8.86605e-05
83,421.722,0.61919,0.59422,1.05621,0.9107,0.38969,0.43412,0.29467,1.93923,2.92428,1.5105,8.96585e-05,8.96585e-05,8.96585e-05
84,427.186,0.55065,0.53297,1.022,0.75438,0.38377,0.43463,0.2956,1.93179,3.04836,1.5011,9.06541e-05,9.06541e-05,9.06541e-05
85,432.926,0.49104,0.63845,1.06824,0.75438,0.38377,0.43463,0.2956,1.93179,3.04836,1.5011,9.16473e-05,9.16473e-05,9.16473e-05
86,438.213,0.65758,0.6309,1.0468,0.75438,0.38377,0.43463,0.2956,1.93179,3.04836,1.5011,9.26382e-05,9.26382e-05,9.26382e-05
87,443.569,0.56461,0.65819,0.96153,0.75438,0.38377,0.43463,0.2956,1.93179,3.04836,1.5011,9.36268e-05,9.36268e-05,9.36268e-05
