epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.46205,1.4116,2.81417,1.75477,0.61343,0.88258,0.8879,0.6156,1.39334,1.32811,1.25125,0,0,0
2,10.7294,1.24866,2.62006,1.44082,0.59672,0.89736,0.88811,0.61799,1.40522,1.35195,1.25739,1.17822e-06,1.17822e-06,1.17822e-06
3,16.0132,1.14155,4.21642,1.49516,0.57906,0.83333,0.87397,0.61303,1.42009,1.38412,1.26403,2.33288e-06,2.33288e-06,2.33288e-06
4,21.2232,1.26602,2.66753,1.44925,0.54577,0.85518,0.87205,0.60506,1.4544,1.41896,1.27974,3.46397e-06,3.46397e-06,3.46397e-06
5,26.2523,1.33652,2.85512,1.6306,0.56995,0.83333,0.87216,0.59728,1.48097,1.45318,1.29633,4.5715e-06,4.5715e-06,4.5715e-06
6,31.359,1.63143,4.70789,1.92341,0.85308,0.57292,0.87404,0.58056,1.49193,1.50811,1.31118,5.65548e-06,5.65548e-06,5.65548e-06
7,36.5152,1.39102,2.08079,1.54946,0.83811,0.56667,0.88594,0.57715,1.50564,1.54793,1.32165,6.71588e-06,6.71588e-06,6.71588e-06
8,41.5597,1.51713,3.13993,1.78324,0.83521,0.56667,0.88234,0.5469,1.51871,1.62841,1.34291,7.75273e-06,7.75273e-06,7.75273e-06
9,46.6562,1.07358,2.58994,1.35441,0.81788,0.56667,0.77945,0.5384,1.54393,1.69153,1.3615,8.76602e-06,8.76602e-06,8.76602e-06
10,51.7698,0.97614,3.33818,1.49129,0.79564,0.56667,0.74397,0.53444,1.55507,1.73789,1.37757,9.75574e-06,9.75574e-06,9.75574e-06
11,56.945,1.35312,2.74252,1.53696,0.79587,0.58333,0.74426,0.5345,1.55446,1.74951,1.37739,1.07219e-05,1.07219e-05,1.07219e-05
12,62.1095,1.03511,2.04703,1.39474,0.77386,0.58333,0.74434,0.53466,1.55297,1.76738,1.37622,1.16645e-05,1.16645e-05,1.16645e-05
13,67.2988,0.96673,2.56504,1.22993,0.74727,0.58333,0.74415,0.53464,1.52418,1.78145,1.36018,1.25835e-05,1.25835e-05,1.25835e-05
14,72.3933,1.37973,2.41921,1.79139,0.76665,0.58333,0.74312,0.52637,1.51232,1.81152,1.35517,1.3479e-05,1.3479e-05,1.3479e-05
