epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.70321,1.41116,2.80917,1.75436,0.60672,0.83333,0.87395,0.6157,1.44321,1.37536,1.27065,0,0,0
2,11.0992,1.24814,2.61861,1.44047,0.54204,0.83333,0.87276,0.60073,1.45251,1.40332,1.27515,1.17822e-06,1.17822e-06,1.17822e-06
3,16.2458,1.1411,4.21252,1.49504,0.56157,0.83333,0.8706,0.59993,1.46195,1.4484,1.28773,2.33288e-06,2.33288e-06,2.33288e-06
4,21.3326,1.26521,2.6652,1.4486,0.60399,0.83333,0.8857,0.59268,1.49037,1.49175,1.30678,3.46397e-06,3.46397e-06,3.46397e-06
5,26.4089,1.33617,2.85112,1.63034,0.85298,0.56667,0.88561,0.58533,1.50595,1.54132,1.31782,4.5715e-06,4.5715e-06,4.5715e-06
6,31.5434,1.63098,4.7051,1.92308,0.83886,0.56667,0.88575,0.56505,1.5193,1.60843,1.3343,5.65548e-06,5.65548e-06,5.65548e-06
7,36.6756,1.39047,2.07888,1.54925,0.83093,0.56667,0.88558,0.55698,1.5286,1.659,1.34433,6.71588e-06,6.71588e-06,6.71588e-06
8,41.7143,1.51697,3.13517,1.78251,0.82407,0.56667,0.74426,0.53447,1.56006,1.72712,1.37433,7.75273e-06,7.75273e-06,7.75273e-06
9,46.7891,1.07258,2.5872,1.35378,0.81162,0.57701,0.74297,0.53433,1.55812,1.76106,1.37472,8.76602e-06,8.76602e-06,8.76602e-06
10,51.9181,0.97578,3.33512,1.49105,0.78887,0.58333,0.74291,0.5343,1.5597,1.79424,1.38017,9.75574e-06,9.75574e-06,9.75574e-06
11,57.0095,1.35308,2.74067,1.53685,0.77339,0.58333,0.74306,0.5344,1.563,1.80435,1.38067,1.07219e-05,1.07219e-05,1.07219e-05
12,62.1299,1.03512,2.04556,1.39474,0.74316,0.58333,0.74401,0.53169,1.55743,1.82689,1.37738,1.16645e-05,1.16645e-05,1.16645e-05
13,67.2188,0.9668,2.56362,1.22997,0.75372,0.58333,0.74289,0.5338,1.53715,1.84091,1.36756,1.25835e-05,1.25835e-05,1.25835e-05
14,72.354,1.37907,2.4145,1.79058,0.93124,0.37348,0.74358,0.54839,1.52818,1.86768,1.36181,1.3479e-05,1.3479e-05,1.3479e-05
15,77.5412,0.81747,1.6932,1.11957,0.92835,0.37334,0.74158,0.54776,1.53464,1.88086,1.36885,1.43509e-05,1.43509e-05,1.43509e-05
16,82.6619,1.08373,2.12376,1.51715,0.92427,0.37327,0.65974,0.50628,1.55118,1.9258,1.36864,1.51993e-05,1.51993e-05,1.51993e-05
17,87.8266,0.82358,1.64508,1.15759,0.92402,0.3734,0.6323,0.49009,1.57224,1.9724,1.37675,1.60241e-05,1.60241e-05,1.60241e-05
18,93.0097,1.12098,1.60204,1.34301,0.92402,0.3734,0.6323,0.49009,1.57224,1.9724,1.37675,1.68253e-05,1.68253e-05,1.68253e-05
19,98.2206,0.96977,1.68075,1.1623,0.92734,0.37368,0.60899,0.46673,1.58234,2.04758,1.39517,1.7603e-05,1.7603e-05,1.7603e-05
20,103.312,1.01532,1.59826,1.32168,0.92734,0.37368,0.60899,0.46673,1.58234,2.04758,1.39517,1.83571e-05,1.83571e-05,1.83571e-05
21,108.401,1.2446,2.73983,1.63683,0.92184,0.37335,0.59266,0.46189,1.61212,2.12672,1.42815,1.90876e-05,1.90876e-05,1.90876e-05
22,113.364,1.27686,2.46663,1.67895,0.92184,0.37335,0.59266,0.46189,1.61212,2.12672,1.42815,1.97946e-05,1.97946e-05,1.97946e-05
23,119.476,0.93927,1.8896,1.40883,0.91796,0.37317,0.58706,0.46013,1.60825,2.17722,1.4311,2.0478e-05,2.0478e-05,2.0478e-05
24,268.632,1.04645,2.15055,1.52648,0.91796,0.37317,0.58706,0.46013,1.60825,2.17722,1.4311,2.11379e-05,2.11379e-05,2.11379e-05
25,276.829,0.84608,1.62364,1.25345,0.92053,0.37321,0.57635,0.44059,1.64577,2.24213,1.4659,2.17741e-05,2.17741e-05,2.17741e-05
26,283.33,0.95678,1.90113,1.37888,0.92053,0.37321,0.57635,0.44059,1.64577,2.24213,1.4659,2.23869e-05,2.23869e-05,2.23869e-05
27,290.446,0.87115,1.86516,1.37466,0.91571,0.37295,0.57652,0.43227,1.66632,2.27797,1.49317,2.2976e-05,2.2976e-05,2.2976e-05
28,297.272,0.8162,1.17245,1.17478,0.91571,0.37295,0.57652,0.43227,1.66632,2.27797,1.49317,2.35417e-05,2.35417e-05,2.35417e-05
29,304.201,0.91551,1.51136,1.25364,0.91642,0.37314,0.57649,0.4406,1.65585,2.29023,1.49045,2.40837e-05,2.40837e-05,2.40837e-05
30,309.892,1.29378,2.50245,1.57209,0.91642,0.37314,0.57649,0.4406,1.65585,2.29023,1.49045,2.46022e-05,2.46022e-05,2.46022e-05
31,315.411,0.92077,1.23673,1.22847,0.9173,0.37332,0.57826,0.4396,1.68266,2.29893,1.50048,2.50971e-05,2.50971e-05,2.50971e-05
32,321.098,0.64052,1.30602,1.13778,0.9173,0.37332,0.57826,0.4396,1.68266,2.29893,1.50048,2.55685e-05,2.55685e-05,2.55685e-05
33,326.392,0.88677,1.18083,1.48,0.92016,0.37334,0.45457,0.32785,1.68399,2.3047,1.51205,2.60163e-05,2.60163e-05,2.60163e-05
34,332.083,0.94781,1.09271,1.27001,0.92016,0.37334,0.45457,0.32785,1.68399,2.3047,1.51205,2.64405e-05,2.64405e-05,2.64405e-05
35,337.683,0.94378,1.90685,1.30391,0.91656,0.373,0.45413,0.30629,1.69633,2.33135,1.518,2.68412e-05,2.68412e-05,2.68412e-05
36,343.385,0.8025,1.41735,1.20558,0.91656,0.373,0.45413,0.30629,1.69633,2.33135,1.518,2.72183e-05,2.72183e-05,2.72183e-05
37,348.992,0.72477,1.24533,1.13814,0.91966,0.37296,0.45395,0.33697,1.71431,2.36824,1.53333,2.75718e-05,2.75718e-05,2.75718e-05
38,354.345,0.44539,0.91826,0.95053,0.91966,0.37296,0.45395,0.33697,1.71431,2.36824,1.53333,2.79018e-05,2.79018e-05,2.79018e-05
39,359.958,0.79199,0.87566,1.08393,0.91947,0.37296,0.45264,0.33706,1.7148,2.3948,1.52965,2.82082e-05,2.82082e-05,2.82082e-05
40,365.49,0.65305,0.75356,1.06058,0.91947,0.37296,0.45264,0.33706,1.7148,2.3948,1.52965,2.84911e-05,2.84911e-05,2.84911e-05
41,370.999,0.6712,0.8994,1.0149,0.92315,0.37312,0.45373,0.33676,1.71379,2.40528,1.52856,2.87504e-05,2.87504e-05,2.87504e-05
42,376.439,0.54957,1.54753,1.04094,0.92315,0.37312,0.45373,0.33676,1.71379,2.40528,1.52856,2.89861e-05,2.89861e-05,2.89861e-05
43,381.974,1.0399,1.31711,1.31817,0.94077,0.38951,0.45946,0.33764,1.72774,2.41753,1.53802,2.91983e-05,2.91983e-05,2.91983e-05
44,387.118,0.89687,0.89857,1.32292,0.94077,0.38951,0.45946,0.33764,1.72774,2.41753,1.53802,2.93869e-05,2.93869e-05,2.93869e-05
