epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,392.308,0.60739,0.76363,1.00042,0.94188,0.38927,0.44838,0.32557,1.75334,2.45871,1.55483,2.9552e-05,2.9552e-05,2.9552e-05
46,396.947,0.71633,0.969,1.15315,0.94188,0.38927,0.44838,0.32557,1.75334,2.45871,1.55483,2.96935e-05,2.96935e-05,2.96935e-05
47,401.637,0.83278,1.69053,1.25475,0.94219,0.39168,0.42177,0.29926,1.75366,2.42909,1.54197,2.98114e-05,2.98114e-05,2.98114e-05
48,406.709,0.92527,1.46375,1.26174,0.94219,0.39168,0.42177,0.29926,1.75366,2.42909,1.54197,2.99058e-05,2.99058e-05,2.99058e-05
49,411.647,0.84225,0.92978,1.30041,0.9417,0.39262,0.45193,0.32522,1.75865,2.38593,1.54233,2.99766e-05,2.99766e-05,2.99766e-05
50,416.67,0.66854,1.07898,1.20681,0.9417,0.39262,0.45193,0.32522,1.75865,2.38593,1.54233,3.00238e-05,3.00238e-05,3.00238e-05
51,421.492,0.78247,0.85095,1.1438,0.94279,0.39232,0.42234,0.29904,1.76246,2.40791,1.53685,3.00475e-05,3.00475e-05,3.00475e-05
52,426.07,0.80542,0.86147,1.22416,0.94279,0.39232,0.42234,0.29904,1.76246,2.40791,1.53685,3.00476e-05,3.00476e-05,3.00476e-05
53,430.939,0.64725,0.70971,1.19535,0.94279,0.39232,0.42234,0.29904,1.76246,2.40791,1.53685,3.00242e-05,3.00242e-05,3.00242e-05
54,435.901,0.77244,0.84632,1.23338,0.94377,0.39256,0.42253,0.29951,1.7669,2.41173,1.53777,2.99772e-05,2.99772e-05,2.99772e-05
55,440.95,0.69336,0.89787,1.04517,0.94377,0.39256,0.42253,0.29951,1.7669,2.41173,1.53777,2.99066e-05,2.99066e-05,2.99066e-05
56,445.709,1.17523,1.64202,1.57556,0.94377,0.39256,0.42253,0.29951,1.7669,2.41173,1.53777,2.98125e-05,2.98125e-05,2.98125e-05
57,450.635,1.0328,1.43727,1.35992,0.94617,0.38993,0.42258,0.29145,1.77387,2.44381,1.54493,2.96948e-05,2.96948e-05,2.96948e-05
58,455.327,0.829,1.37708,1.27052,0.94617,0.38993,0.42258,0.29145,1.77387,2.44381,1.54493,2.95535e-05,2.95535e-05,2.95535e-05
59,460.25,0.75381,0.73329,1.16623,0.94617,0.38993,0.42258,0.29145,1.77387,2.44381,1.54493,2.93887e-05,2.93887e-05,2.93887e-05
60,465.36,0.96046,0.79761,1.49816,0.94547,0.39007,0.42443,0.27485,1.79126,2.44359,1.55189,2.92003e-05,2.92003e-05,2.92003e-05
61,470.433,0.60534,0.69465,1.06547,0.94547,0.39007,0.42443,0.27485,1.79126,2.44359,1.55189,2.89884e-05,2.89884e-05,2.89884e-05
62,475.613,0.70476,0.86955,1.05634,0.94547,0.39007,0.42443,0.27485,1.79126,2.44359,1.55189,2.87529e-05,2.87529e-05,2.87529e-05
63,480.894,0.74661,0.81393,1.1449,0.94606,0.39056,0.42449,0.27521,1.82163,2.48228,1.59131,2.84938e-05,2.84938e-05,2.84938e-05
64,485.963,0.66313,0.69538,1.08458,0.94606,0.39056,0.42449,0.27521,1.82163,2.48228,1.59131,2.82112e-05,2.82112e-05,2.82112e-05
65,491.046,0.58865,0.83817,1.18496,0.94606,0.39056,0.42449,0.27521,1.82163,2.48228,1.59131,2.7905e-05,2.7905e-05,2.7905e-05
66,496.42,0.63043,0.90718,1.079,0.94579,0.39014,0.4214,0.30784,1.82298,2.48983,1.58234,2.75753e-05,2.75753e-05,2.75753e-05
67,502.328,0.69304,1.03825,1.07281,0.94579,0.39014,0.4214,0.30784,1.82298,2.48983,1.58234,2.7222e-05,2.7222e-05,2.7222e-05
68,507.579,0.94738,1.75245,1.34718,0.94579,0.39014,0.4214,0.30784,1.82298,2.48983,1.58234,2.68451e-05,2.68451e-05,2.68451e-05
69,512.902,0.6195,0.99048,1.1263,0.94563,0.39126,0.42171,0.29265,1.85258,2.51293,1.60598,2.64447e-05,2.64447e-05,2.64447e-05
70,517.965,0.88607,0.87353,1.35983,0.94563,0.39126,0.42171,0.29265,1.85258,2.51293,1.60598,2.60207e-05,2.60207e-05,2.60207e-05
71,522.903,1.00074,1.29186,1.37793,0.94563,0.39126,0.42171,0.29265,1.85258,2.51293,1.60598,2.55731e-05,2.55731e-05,2.55731e-05
72,527.961,0.58241,0.60254,1.04387,0.94699,0.38962,0.42177,0.29267,1.87585,2.55109,1.63446,2.5102e-05,2.5102e-05,2.5102e-05
73,532.847,0.66229,0.89346,1.05084,0.94699,0.38962,0.42177,0.29267,1.87585,2.55109,1.63446,2.46073e-05,2.46073e-05,2.46073e-05
74,537.775,0.65931,0.68105,1.16035,0.94699,0.38962,0.42177,0.29267,1.87585,2.55109,1.63446,2.40891e-05,2.40891e-05,2.40891e-05
75,542.944,0.6888,0.56689,1.1231,0.94624,0.38973,0.42205,0.29271,1.84112,2.51638,1.5792,2.35472e-05,2.35472e-05,2.35472e-05
76,547.922,0.57597,0.84412,1.09777,0.94624,0.38973,0.42205,0.29271,1.84112,2.51638,1.5792,2.29819e-05,2.29819e-05,2.29819e-05
77,552.795,0.62122,0.5912,1.07595,0.94624,0.38973,0.42205,0.29271,1.84112,2.51638,1.5792,2.23929e-05,2.23929e-05,2.23929e-05
78,559.162,0.79307,1.08971,1.14057,0.94552,0.39063,0.42216,0.29351,1.8086,2.45728,1.52001,2.17805e-05,2.17805e-05,2.17805e-05
79,564.945,0.58174,0.72135,1.09852,0.94552,0.39063,0.42216,0.29351,1.8086,2.45728,1.52001,2.11444e-05,2.11444e-05,2.11444e-05
80,572.21,0.64336,0.78562,1.1048,0.94552,0.39063,0.42216,0.29351,1.8086,2.45728,1.52001,2.04848e-05,2.04848e-05,2.04848e-05
81,577.788,0.51195,0.46152,0.98659,0.93921,0.38883,0.42299,0.29505,1.80875,2.45283,1.52409,1.98016e-05,1.98016e-05,1.98016e-05
82,583.001,0.74912,0.69541,1.15359,0.93921,0.38883,0.42299,0.29505,1.80875,2.45283,1.52409,1.90949e-05,1.90949e-05,1.90949e-05
83,590.791,0.79703,0.77389,1.19133,0.93921,0.38883,0.42299,0.29505,1.80875,2.45283,1.52409,1.83646e-05,1.83646e-05,1.83646e-05
84,595.678,0.59507,0.60505,1.03011,0.93724,0.38765,0.42095,0.29389,1.82479,2.48911,1.53749,1.76107e-05,1.76107e-05,1.76107e-05
85,600.699,0.63126,0.78757,1.15049,0.93724,0.38765,0.42095,0.29389,1.82479,2.48911,1.53749,1.68333e-05,1.68333e-05,1.68333e-05
86,605.293,0.85879,0.83905,1.13897,0.93724,0.38765,0.42095,0.29389,1.82479,2.48911,1.53749,1.60323e-05,1.60323e-05,1.60323e-05
87,609.973,0.66487,0.78561,1.01901,0.93724,0.38765,0.42095,0.29389,1.82479,2.48911,1.53749,1.52077e-05,1.52077e-05,1.52077e-05
88,614.801,0.79056,0.84628,1.38234,0.93811,0.38695,0.42112,0.29343,1.80927,2.52429,1.5239,1.43596e-05,1.43596e-05,1.43596e-05
89,619.418,1.07994,1.04235,1.5137,0.93811,0.38695,0.42112,0.29343,1.80927,2.52429,1.5239,1.34879e-05,1.34879e-05,1.34879e-05
90,624.078,0.58512,0.65149,0.97848,0.93811,0.38695,0.42112,0.29343,1.80927,2.52429,1.5239,1.25927e-05,1.25927e-05,1.25927e-05
91,628.759,0.52202,0.51335,0.92955,0.93811,0.38695,0.42112,0.29343,1.80927,2.52429,1.5239,1.16739e-05,1.16739e-05,1.16739e-05
92,633.55,0.6752,0.71281,0.9543,0.9441,0.38754,0.42115,0.29234,1.79578,2.57748,1.503,1.07315e-05,1.07315e-05,1.07315e-05
93,638.397,0.40934,0.47687,0.95472,0.9441,0.38754,0.42115,0.29234,1.79578,2.57748,1.503,9.76562e-06,9.76562e-06,9.76562e-06
94,643.213,0.54515,0.53542,0.88876,0.9441,0.38754,0.42115,0.29234,1.79578,2.57748,1.503,8.77613e-06,8.77613e-06,8.77613e-06
95,647.841,0.43522,0.49189,0.9316,0.9441,0.38754,0.42115,0.29234,1.79578,2.57748,1.503,7.76308e-06,7.76308e-06,7.76308e-06
96,652.646,0.45205,0.4832,0.97143,0.94122,0.38333,0.41859,0.29042,1.82625,2.62462,1.54276,6.72648e-06,6.72648e-06,6.72648e-06
97,657.656,0.67661,0.69531,1.02468,0.94122,0.38333,0.41859,0.29042,1.82625,2.62462,1.54276,5.6663e-06,5.6663e-06,5.6663e-06
98,662.317,0.47864,0.53191,0.91071,0.94122,0.38333,0.41859,0.29042,1.82625,2.62462,1.54276,4.58257e-06,4.58257e-06,4.58257e-06
99,667.149,0.55547,0.60738,0.95438,0.94122,0.38333,0.41859,0.29042,1.82625,2.62462,1.54276,3.47528e-06,3.47528e-06,3.47528e-06
100,671.898,0.4656,0.4901,0.9697,0.94848,0.38177,0.41932,0.29007,1.799,2.67164,1.50641,2.34442e-06,2.34442e-06,2.34442e-06
