epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.59894,1.41116,2.80917,1.75436,0.60672,0.83333,0.87395,0.6157,1.44321,1.37536,1.27065,0,0,0
2,11.1474,1.24814,2.61861,1.44047,0.54208,0.83333,0.87276,0.60073,1.45258,1.40312,1.27511,9.5438e-07,9.5438e-07,9.5438e-07
3,16.2839,1.14139,4.21456,1.49513,0.56206,0.83333,0.8706,0.59993,1.46209,1.4484,1.28749,1.43752e-06,1.43752e-06,1.43752e-06
4,21.3684,1.26953,2.67178,1.45157,0.60872,0.83333,0.88573,0.5927,1.49053,1.49243,1.30589,1.44942e-06,1.44942e-06,1.44942e-06
5,26.4505,1.33846,2.88973,1.63465,0.85218,0.56667,0.88572,0.58537,1.50377,1.54346,1.31562,9.9008e-07,9.9008e-07,9.9008e-07
